,Address,AdmArea,District,SeatsCount,x,y,TypeObject
6806,"Солянский тупик, дом 1/4, строение 1",Центральный административный округ,Таганский район,0,37.63601003287905,55.753823417387125,кафе
6807,"улица Земляной Вал, дом 58/23, строение 1А",Центральный административный округ,Таганский район,54,37.6549705492083,55.7473127934167,кафе
6808,"город Москва, Большой Спасоглинищевский переулок, дом 3, строение 5",Центральный административный округ,Басманный район,30,37.63516008815909,55.75644217793486,бар
6809,"город Москва, улица Москворечье, дом 23",Южный административный округ,район Москворечье-Сабурово,46,37.65447699853816,55.644610523147655,кафе
6810,"город Москва, Песочная аллея, дом 5",Восточный административный округ,район Сокольники,60,37.67013594627026,55.79391591286465,кафе
6811,"город Москва, Енисейская улица, владение 9А",Северо-Восточный административный округ,Бабушкинский район,45,37.661239,55.864727,кафе
6812,"проезд Добролюбова, дом 2",Северо-Восточный административный округ,Бутырский район,0,37.59731751138003,55.807737450023744,кафе
6813,"город Москва, 6-й Лучевой просек, дом 6",Восточный административный округ,район Сокольники,40,37.67955382238756,55.80037597914553,кафе
6814,"город Москва, Митьковский проезд, дом 1",Восточный административный округ,район Сокольники,48,37.664467289789755,55.79366789947071,кафе
6815,"город Москва, проезд Сокольнического Круга, дом 5",Восточный административный округ,район Сокольники,130,37.67896388546904,55.794914488744915,кафе
6816,"город Москва, 2-й Лучевой просек, дом 2",Восточный административный округ,район Сокольники,80,37.67461140793578,55.79567461359299,кафе
6817,"город Москва, 3-й Лучевой просек, дом 4А",Восточный административный округ,район Сокольники,28,37.67270015160965,55.7985479098392,кафе
6818,"город Москва, проезд Сокольнического Круга, дом 7",Восточный административный округ,район Сокольники,160,37.67896388546904,55.794914488744915,кафе
6819,"город Москва, Батайский проезд, дом 63",Юго-Восточный административный округ,район Марьино,30,37.74138455089504,55.64345535668459,бар
6820,"город Москва, улица Миклухо-Маклая, дом 11Б",Юго-Западный административный округ,Обручевский район,6,37.50141033950309,55.65360433892214,предприятие быстрого обслуживания
6821,"город Москва, улица Миклухо-Маклая, дом 11Б",Юго-Западный административный округ,Обручевский район,16,37.50141033950309,55.65360433892214,кафе
6822,"город Москва, улица Миклухо-Маклая, дом 11Б",Юго-Западный административный округ,Обручевский район,32,37.50141033950309,55.65360433892214,кафе
6823,"город Москва, улица Миклухо-Маклая, дом 11Б",Юго-Западный административный округ,Обручевский район,25,37.50141033950309,55.65360433892214,кафе
6824,"улица Обручева, дом 23, строение 1",Юго-Западный административный округ,Обручевский район,40,37.531252,55.65845,столовая
6825,"город Москва, Большая Черёмушкинская улица, дом 3",Юго-Западный административный округ,район Котловка,35,37.59834388996525,55.68990179280975,кафе
6826,"город Москва, Ленинградское шоссе, дом 16А, строение 4",Северный административный округ,Войковский район,66,37.49794738270719,55.823181548622294,кафетерий
6827,"Вспольный переулок, дом 19/20, строение 1",Центральный административный округ,Пресненский район,100,37.58797436539612,55.76239792636278,столовая
6828,"город Москва, Большая Грузинская улица, дом 1, строение 2",Центральный административный округ,Пресненский район,100,37.57662527912268,55.7611756575462,кафе
6829,"город Москва, город Зеленоград, площадь Шокина, дом 1",Зеленоградский административный округ,район Старое Крюково,16,37.205731,55.982346,кафетерий
6830,"город Москва, город Зеленоград, Новокрюковская улица, дом 10",Зеленоградский административный округ,район Крюково,102,37.170644,55.980316,предприятие быстрого обслуживания
6831,"улица Ленинская Слобода, дом 26, строение 5",Южный административный округ,Даниловский район,160,37.65309443579637,55.711353431356194,столовая
6832,"улица Ленинская Слобода, дом 26, строение 5",Южный административный округ,Даниловский район,40,37.65309443579637,55.711353431356194,кафе
6833,"улица Ленинская Слобода, дом 26, строение 11",Южный административный округ,Даниловский район,95,37.6510202324042,55.70862285197719,кафе
6834,"город Москва, проспект Андропова, дом 22",Южный административный округ,район Нагатино-Садовники,41,37.659926328709965,55.683312220092056,ресторан
6835,"город Москва, Азовская улица, дом 24",Юго-Западный административный округ,район Зюзино,40,37.59658673690239,55.64695230684738,кафе
6836,"город Москва, улица Расплетина, дом 12, корпус 1",Северо-Западный административный округ,район Щукино,32,37.483046348872485,55.791356405795476,ресторан
6837,"город Москва, Ленинградское шоссе, дом 58, строение 26",Северный административный округ,Головинский район,50,37.48058500801406,55.8423758065117,кафе
6838,"город Москва, Каспийская улица, дом 22, корпус 1",Южный административный округ,район Царицыно,0,37.675753363968454,55.625634541365365,предприятие быстрого обслуживания
6839,"город Москва, проспект Андропова, дом 39, строение 69",Южный административный округ,район Нагатинский Затон,120,37.65741369379547,55.65548475248611,кафе
6840,"город Москва, улица Ленинская Слобода, дом 26",Южный административный округ,Даниловский район,40,37.65428934409813,55.70994903547632,ресторан
6841,"город Москва, Кировоградская улица, дом 13А",Южный административный округ,район Чертаново Центральное,20,37.6062274768495,55.613472764891135,предприятие быстрого обслуживания
6842,"город Москва, Кировоградская улица, дом 13А",Южный административный округ,район Чертаново Центральное,50,37.6062274768495,55.613472764891135,предприятие быстрого обслуживания
6843,"город Москва, Кировоградская улица, дом 13А",Южный административный округ,район Чертаново Центральное,34,37.6062274768495,55.613472764891135,кафе
6844,"Новоданиловская набережная, дом 6",Южный административный округ,Донской район,80,37.6256041934448,55.69748137397378,ресторан
6845,"город Москва, Варшавское шоссе, дом 143А",Южный административный округ,район Чертаново Южное,2,37.59921555727577,55.58394032265867,магазин (отдел кулинарии)
6846,"город Москва, Болотная набережная, дом 3, строение 2",Центральный административный округ,район Якиманка,45,37.60943954601556,55.73996943452662,кафе
6847,"город Москва, улица Машкова, дом 28/20, строение 1",Центральный административный округ,Басманный район,46,37.65485424200006,55.76463054437207,бар
6848,"город Москва, улица Машкова, дом 28/20, строение 1",Центральный административный округ,Басманный район,40,37.65485424200006,55.76463054437207,кафе
6849,"город Москва, улица Сретенка, дом 1",Центральный административный округ,Мещанский район,26,37.630691425166944,55.766591712910085,кафе
6850,"5-й Котельнический переулок, дом 11",Центральный административный округ,Таганский район,271,37.64929574613782,55.74174775744237,ресторан
6851,"город Москва, Неглинная улица, дом 10",Центральный административный округ,Мещанский район,30,37.62047301907764,55.762098784734086,бар
6852,"город Москва, Новорязанская улица, дом 18, строение 2",Центральный административный округ,Красносельский район,0,37.6619835077818,55.772186081447316,кафе
6853,"город Москва, улица Земляной Вал, дом 9",Центральный административный округ,Басманный район,132,37.65859378872759,55.761595517082704,ресторан
6854,"город Москва, Тверской бульвар, дом 26",Центральный административный округ,Тверской район,46,37.60451343732514,55.76299814420203,кафе
6855,"город Москва, улица Большая Дмитровка, дом 32, строение 2",Центральный административный округ,Тверской район,28,37.61156799999999,55.765437760153674,бар
6856,"улица Знаменка, дом 14",Центральный административный округ,район Арбат,90,37.60411579784309,55.75162777752817,столовая
6857,"город Москва, улица Каретный Ряд, дом 3, строение 3",Центральный административный округ,Тверской район,120,37.608672290851494,55.770388136344174,ресторан
6858,"город Москва, Пятницкая улица, дом 13, строение 1",Центральный административный округ,район Замоскворечье,10,37.62844543090596,55.74377724435678,кафе
6859,"город Москва, улица Фридриха Энгельса, дом 20, строение 1",Центральный административный округ,Басманный район,60,37.68313733126997,55.77236848487944,кафе
6860,"Школьная улица, дом 48, строение 1",Центральный административный округ,Таганский район,85,37.68000297702074,55.72901594260584,бар
6861,"город Москва, улица Крымский Вал, дом 9, строение 52",Центральный административный округ,район Якиманка,204,37.59598281572073,55.72563246948734,кафе
6862,"город Москва, улица Каретный Ряд, дом 3, строение 16",Центральный административный округ,Тверской район,6,37.608672290851494,55.770388136344174,кафе
6863,"поселение Сосенское, деревня Столбово, дом 1",Новомосковский административный округ,поселение Сосенское,24,37.469799,55.562413,столовая
6864,"Полевая улица, дом 20",Западный административный округ,район Внуково,205,37.21442086964656,55.61012306404446,столовая
6865,"город Москва, улица Каретный Ряд, дом 3, строение 15А",Центральный административный округ,Тверской район,6,37.60744919292841,55.77126848163616,кафе
6866,"город Москва, город Московский, улица Хабарова, дом 2",Новомосковский административный округ,поселение Московский,0,37.35185,55.593946,предприятие быстрого обслуживания
